date,temp,mass,prec
15-05,0.6366666666666667,-5321.073333333334,2.1816242
15-06,0.6433333333333333,-5345.3966666666665,2.2382236
15-07,0.65,-5369.72,2.294823
15-08,0.66,-5661.26,2.3718274
15-09,0.67,-5661.93,2.358184
15-10,0.6866666666666666,-5648.87,2.33057
15-11,0.7033333333333334,-5635.81,2.3029556
15-12,0.72,-5622.75,2.2753415
16-01,0.75,-5569.27,2.3272421
16-02,0.77,-5671.25,2.3223166
16-03,0.79,-5604.46,2.2493184
16-04,0.795,-5538.71,2.2162845
16-05,0.8,-5472.96,2.1832507
16-06,0.8,-5442.19,2.2396379
16-07,0.81,-5493.4,2.2773335
16-08,0.81,-5706.05,2.4010978
16-09,0.7966666666666667,-5695.206666666667,2.3557832
16-10,0.7833333333333333,-5684.363333333334,2.3104684
16-11,0.77,-5673.52,2.265154
16-12,0.76,-5684.27,2.192069
17-01,0.74,-5647.360000000001,2.2547817
17-02,0.7333333333333333,-5761.423333333333,2.2339456
17-03,0.7266666666666667,-5875.486666666667,2.2131093
17-04,0.72,-5989.549999999999,2.1922731
17-05,0.72,-5769.1900000000005,2.1943605
17-06,0.71,-5789.7,2.2695167
17-07,0.7041666666666666,-5809.015833333333,2.2684247
17-08,0.6983333333333333,-5828.331666666667,2.2673328
17-09,0.6925,-5847.6475,2.2662406
17-10,0.6866666666666666,-5866.963333333333,2.2651486
17-11,0.6808333333333333,-5886.279166666666,2.2640567
17-12,0.675,-5905.594999999999,2.2629647
18-01,0.6691666666666667,-5924.910833333333,2.2618728
18-02,0.6633333333333333,-5944.2266666666665,2.2607808
18-03,0.6575,-5963.5425,2.2596889
18-04,0.6516666666666666,-5982.858333333334,2.2585967
18-05,0.6458333333333334,-6002.174166666667,2.2575047
18-06,0.64,-6021.49,2.2564127
18-07,0.64,-6072.44,2.3184006
18-08,0.64,-6182.13,2.2992244
18-09,0.64,-6291.82,2.2800484
18-10,0.64,-6401.51,2.2608721
18-11,0.64,-6318.99,2.1914296
18-12,0.66,-6436.99,2.2350852
19-01,0.67,-6565.11,2.2248938
19-02,0.68,-6653.700000000001,2.2638876
19-03,0.69,-6599.07,2.204817
19-04,0.69,-6544.67,2.1736972
19-05,0.7,-6337.74,2.1340957
19-06,0.71,-6477.4,2.3278346
19-07,0.72,-6554.92,2.267248
19-08,0.73,-6954.6,2.3504593
19-09,0.74,-7084.32,2.2998662
19-10,0.74,-7089.97,2.1697893
19-11,0.74,-7041.1,2.1770294
19-12,0.74,-7135.82,2.1963558
20-01,0.75,-7429.84,2.2471318
20-02,0.76,-7507.52,2.283098
20-03,0.76,-7409.1,2.275338
20-04,0.77,-7262.75,2.148884
20-05,0.77,-7115.030000000001,2.2171366
20-06,0.77,-7105.46,2.2678452
20-07,0.77,-7299.66,2.2888134
20-08,0.76,-7320.67,2.3132932
20-09,0.76,-7404.18,2.2881215
20-10,0.75,-7431.33,2.2535622
20-11,0.74,-7466.05,2.2412438
20-12,0.73,-7498.15,2.116794
21-01,0.7,-7722.1,2.160409
21-02,0.69,-7564.01,2.1785407
21-03,0.67,-7562.389999999999,2.1946738
21-04,0.65,-7291.820000000001,2.089532
21-05,0.64,-7334.129999999999,2.211523
21-06,0.63,-7519.620000000001,2.274838
21-07,0.63,-7613.99,2.3441203
21-08,0.62,-7680.1900000000005,2.2632666
21-09,0.62,-7803.49,2.2936916
21-10,0.62,-7653.7,2.2389643
21-11,0.63,-7892.25,2.1447022
21-12,0.63,-7745.67,2.1703568
22-01,0.64,-7817.969999999999,2.2537334
22-02,0.65,-7749.110000000001,2.1937451
22-03,0.65,-7665.83,2.2583227
22-04,0.66,-7437.62,2.117977
22-05,0.66,-7328.94,2.17662
22-06,0.66,-7325.75,2.2437315
22-07,0.66,-7544.379999999999,2.3879285
22-08,0.66,-7603.98,2.3627558
22-09,0.67,-7639.84,2.3045511
22-10,0.67,-7690.6,2.2389557
22-11,0.67,-7547.700000000001,2.164422
22-12,0.67,-7507.110000000001,2.1790004
23-01,0.67,-7690.56,2.1616018
23-02,0.67,-7771.6,2.205895
23-03,0.69,-7625.88,2.19354
23-04,0.71,-7402.86,2.0659106
23-05,0.72,-7519.389999999999,2.1792064
23-06,0.74,-7487.57,2.2937443
23-07,0.77,-7700.08,2.3386228
23-08,0.79,-7768.790000000001,2.3647017
23-09,0.82,-7857.5599999999995,2.3838632
23-10,0.85,-7982.469999999999,2.3199027
23-11,0.88,-7993.28,2.2582664
